S.N.,Districts,Winter_alpha,Winter_Trend,PreMonsoon_alpha,PreMonsoon_Trend,Monsoon_alpha,Monsoon_Trend,PostMonsoon_alpha,PostMonsoon_Trend,Annual_alpha,Annual_Trend
1,Achham,+,-0.018,0,-0.012,0,-0.001,+,-0.016,0,-0.0043
2,Arghakhanchi,0,0.009,0,0.011,***,0.018,0,0.004,**,0.013
3,Baglung,0,-0.013,0,-0.006,**,0.019,0,-0.005,0,0.003
4,Baitadi,0,-0.016,0,-0.007,*,0.015,+,-0.018,0,0
5,Bajhang,**,-0.048,+,-0.028,0,-0.003,*,-0.032,+,-0.018
6,Bajura,**,-0.044,+,-0.025,0,-0.005,**,-0.034,+,-0.019
7,Banke,+,0.015,0,0.005,0,0.01,0,0.009,*,0.009
8,Bara,**,0.03,**,0.023,***,0.017,*,0.018,***,0.023
9,Bardiya,+,0.012,0,0.009,**,0.017,0,0.013,***,0.012
10,Bhaktapur,*,0.018,*,0.016,***,0.021,**,0.016,***,0.02
11,Bhojpur,0,0.009,0,0.004,0,0.008,0,0.002,0,0.007
12,Chitawan,**,0.022,**,0.018,***,0.022,*,0.028,***,0.025
13,Dadeldhura,0,-0.012,0,-0.002,**,0.016,0,-0.011,0,0.003
14,Dailekh,0,-0.012,0,-0.011,0,-0.009,*,-0.021,+,-0.01
15,Dang,0,0.005,0,0.006,**,0.014,0,0.001,*,0.008
16,Darchula,**,-0.045,+,-0.024,0,-0.001,**,-0.035,+,-0.016
17,Dhading,0,0.002,+,0.013,***,0.027,*,0.019,***,0.017
18,Dhankuta,*,0.018,0,0.011,**,0.014,0,0.006,*,0.014
19,Dhanusa,***,0.038,**,0.029,***,0.022,*,0.026,***,0.029
20,Dolakha,0,-0.013,0,-0.006,**,0.013,0,-0.007,0,-0.002
21,Dolpa,**,-0.052,0,-0.016,**,0.046,0,-0.017,0,0
22,Doti,*,-0.019,0,-0.013,0,0.007,0,-0.013,0,-0.003
23,Gorkha,+,-0.019,0,0.005,*,0.018,0,0,0,0.002
24,Gulmi,0,0.002,0,0.005,**,0.013,0,0.003,0,0.007
25,Humla,**,-0.076,+,-0.032,0,-0.005,**,-0.037,*,-0.028
26,Ilam,0,0.001,0,-0.004,0,0.004,0,-0.01,0,-0.001
27,Jajarkot,0,-0.014,0,-0.01,*,0.016,0,-0.011,0,0
28,Jhapa,+,0.014,0,0.003,0,0.001,0,0.002,0,0.005
29,Jumla,**,-0.051,0,-0.017,*,0.016,+,-0.028,0,-0.012
