S.N.,Districts,Winter_alpha,Winter_Trend,PreMonsoon_alpha,PreMonsoon_Trend,Monsoon_alpha,Monsoon_Trend,PostMonsoon_alpha,PostMonsoon_Trend,Annual_alpha,Annual_Trend
1,Achham,***,0.047,***,0.057,***,0.063,***,0.047,***,0.056052
2,Arghakhanchi,**,0.019,*,0.029,***,0.043,***,0.034,***,0.034
3,Baglung,***,0.05,***,0.047,***,0.055,***,0.057,***,0.055
4,Baitadi,***,0.056,***,0.061,***,0.066,***,0.053,***,0.062
5,Bajhang,***,0.103,***,0.077,***,0.072,***,0.072,***,0.084
6,Bajura,***,0.086,***,0.072,***,0.065,***,0.066,***,0.077
7,Banke,0,-0.005,+,0.024,***,0.034,**,0.025,***,0.02
8,Bara,+,-0.021,0,0.007,***,0.03,0,0.016,0,0.01
9,Bardiya,0,-0.003,0,0.02,***,0.036,***,0.032,***,0.024
10,Bhaktapur,***,0.043,***,0.042,***,0.043,***,0.046,***,0.044
11,Bhojpur,***,0.062,***,0.057,***,0.053,***,0.064,***,0.057
12,Chitawan,0,0.002,*,0.034,***,0.048,**,0.029,***,0.027
13,Dadeldhura,***,0.036,***,0.045,***,0.053,***,0.046,***,0.047
14,Dailekh,***,0.064,***,0.081,***,0.078,***,0.061,***,0.072
15,Dang,**,0.017,*,0.032,***,0.037,***,0.032,***,0.031
16,Darchula,***,0.096,***,0.086,***,0.081,***,0.073,***,0.087
17,Dhading,***,0.047,***,0.055,***,0.059,***,0.05,***,0.052
18,Dhankuta,***,0.063,***,0.055,***,0.056,***,0.065,***,0.059
19,Dhanusa,0,0.007,+,0.022,***,0.032,**,0.033,***,0.024
20,Dolakha,***,0.078,***,0.05,***,0.059,***,0.067,***,0.063
21,Dolpa,***,0.078,***,0.065,***,0.09,***,0.078,***,0.078
22,Doti,***,0.048,***,0.051,***,0.058,***,0.046,***,0.052
23,Gorkha,***,0.083,***,0.07,***,0.072,***,0.072,***,0.076
24,Gulmi,***,0.034,***,0.046,***,0.051,***,0.043,***,0.045
25,Humla,***,0.104,***,0.083,***,0.068,***,0.077,***,0.085
26,Ilam,***,0.068,***,0.058,***,0.067,***,0.07,***,0.067
27,Jajarkot,***,0.066,***,0.07,***,0.071,***,0.06,***,0.072
28,Jhapa,***,0.035,**,0.034,***,0.053,***,0.052,***,0.044
29,Jumla,***,0.09,***,0.078,***,0.071,***,0.08,***,0.086
30,Kailali,0,-0.005,+,0.023,***,0.038,**,0.028,***,0.023
31,Kalikot,***,0.089,***,0.085,***,0.075,***,0.071,***,0.082
32,Kanchanpur,0,-0.012,+,0.02,***,0.033,**,0.023,**,0.018
33,Kapilbastu,0,-0.003,0,0.02,***,0.035,**,0.022,***,0.021
34,Kaski,***,0.074,***,0.06,***,0.058,***,0.069,***,0.067
35,Kathmandu,***,0.044,***,0.045,***,0.045,***,0.047,***,0.044
36,Kavrepalanchok,***,0.037,***,0.039,***,0.043,***,0.043,***,0.042
37,Khotang,***,0.06,***,0.052,***,0.052,***,0.066,***,0.057
38,Lalitpur,***,0.043,***,0.045,***,0.046,***,0.049,***,0.045
39,Lamjung,***,0.078,***,0.065,***,0.065,***,0.071,***,0.07
40,Mahottari,0,0.001,0,0.013,***,0.031,*,0.026,***,0.019
41,Makwanpur,*,0.016,**,0.038,***,0.045,***,0.034,***,0.034
42,Manang,***,0.118,***,0.086,***,0.071,***,0.09,***,0.092
43,Morang,**,0.028,**,0.034,***,0.046,***,0.051,***,0.04
44,Mugu,***,0.085,***,0.07,***,0.068,***,0.075,***,0.08
45,Mustang,***,0.092,***,0.069,***,0.065,***,0.08,***,0.08
46,Myagdi,***,0.068,***,0.052,***,0.059,***,0.07,***,0.065
47,Nawalparasi,0,-0.009,*,0.033,***,0.049,+,0.018,***,0.026
48,Nuwakot,***,0.038,***,0.045,***,0.05,***,0.041,***,0.045
49,Okhaldhunga,***,0.063,***,0.052,***,0.053,***,0.067,***,0.057
