DATE,PRECTOT,PS,QV2M,RH2M,T2M,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE
19810101,0.0,85.73,3.75,41.66,10.12,-2.55,18.63,4.6,14.03,6.78,1.97,3.74,0.49,3.25,2.27,3.91,0.7,3.21
19810102,0.0,85.78,3.84,44.05,9.63,-2.29,16.57,5.75,10.82,6.09,1.49,2.94,0.33,2.62,1.66,2.67,0.24,2.42
19810103,2.48,85.75,4.62,52.62,9.73,0.26,16.01,5.25,10.76,7.65,1.58,3.0,0.16,2.84,1.88,3.01,0.13,2.88
19810104,2.92,85.71,5.16,63.74,8.53,1.79,15.37,3.59,11.79,7.19,1.86,3.84,0.18,3.66,2.25,3.91,0.24,3.66
19810105,2.8,85.71,5.38,68.53,8.06,2.39,13.69,3.95,9.74,6.42,1.62,2.5,0.31,2.19,1.95,2.88,0.36,2.52
19810106,0.19,85.55,4.93,67.47,6.98,0.96,12.48,3.43,9.04,5.36,1.69,3.33,0.21,3.12,2.0,3.36,0.21,3.15
19810107,0.18,85.59,4.78,69.42,6.14,0.75,11.36,2.78,8.58,4.85,1.28,1.98,0.53,1.45,1.52,2.3,0.43,1.87
19810108,0.02,85.7,3.99,59.26,5.84,-1.75,12.03,1.62,10.41,3.76,1.61,2.95,0.3,2.64,1.79,2.68,0.47,2.21
19810109,0.0,85.98,3.71,54.69,5.98,-2.66,12.97,1.51,11.46,3.8,1.72,3.13,0.51,2.62,1.9,2.89,0.69,2.2
19810110,0.0,86.13,3.45,48.32,6.78,-3.62,14.05,1.85,12.2,3.99,1.71,3.05,0.46,2.6,1.89,2.94,0.5,2.44
19810111,0.01,86.17,3.58,51.16,6.47,-3.29,13.55,1.85,11.7,3.95,1.92,3.42,0.34,3.08,2.28,3.74,0.33,3.41
19810112,3.31,86.27,4.15,64.86,5.19,-1.42,11.85,1.14,10.71,3.78,1.59,2.98,0.12,2.87,1.91,2.74,0.49,2.25
19810113,0.2,86.2,3.94,59.09,5.77,-2.01,13.62,0.21,13.41,3.6,1.86,3.74,0.46,3.29,2.19,3.51,0.71,2.8
