NSIC(Nepal Standard Industrial Classification) code,NSIC Name,Tons CO2 emissions 1996/97,"Tons CO2 emissions 2001/02","Tons CO2 emissions 2006/07","Tons CO2 emissions 2011/12"
15,Food and beverages,8.59,11.51,9.96,37.06
16,Tobacco products,0.52,0.58,0.25,0.18
17,Textiles,4.46,3.06,1.67,0.92
18,"Wearing apparel, fur",0.28,0.53,0.11,0.04
19,"Leather, leather products and footwear",0.17,0.3,0.05,0.11
20,Wood products (excl. furniture),0.97,0.73,0.2,1.17
21,Paper and paper products,0.2,1.02,0.48,0.11
22,Printing and publishing,0.15,0.08,0.06,0.04
23,"Coke, refined petroleum products, nuclear fuel",0.03,0.01,0.01,0.01
24,Chemicals and chemical products,2.61,4.36,2.86,1.57
25,Rubber and plastic products,1.29,0.8,0.76,1.03
26,Non-metallic mineral products,76.94,71.3,72.32,49.4
27,Basic metals,0.52,2.96,2.57,1.66
28,Fabricated metal products,2.49,2.22,8.28,6.5
29,Machinery and equipment n.e.c.,0.08,0.08,0.15,0.03
31,Electrical machinery and apparatus,0.18,0.22,0.16,0.09
32,"Radio, television and communication equipment",0.01,0,0.01,0.01
33,"Medical Precision, and optical Instruments",-,-,0.001,-
34,"Motor vehicles, trailers, semi-trailers",0.03,0,0,0
35,Other transport equipment,-,-,0.002,-
36,Furniture; manufacturing n.e.c.,0.48,0.22,0.1,0.07
