Year,Number of People Dead,Number of People Injured,Number of Livestock Loss ,Number of House Destroyed,Number of Affected Family,Land Affected (Ha.),Public Infrastructure,Estimated Loss (Million NRs.)
1983,579,NA,248,12,NA,NA,NA,240
1984,941,NA,3547,10597,NA,1242,869,49
1985,1387,NA,3399,7166,NA,1355,436,23
1986,1512,NA,6566,3370,NA,1315,436,23
1987,881,162,1852,36220,97036,18858,421,2005
1988,1584,12538,2788,108801,70197,NA,4365,6099
1989,1716,3014,4240,7648,NA,NA,NA,4172
1990,913,196,867,6352,8462,1132,NA,139
1991,971,43,642,5510,6426,283,39,43
1992,1318,17,1586,13997,11535,135,66,52
1993,1524,246,NA,21911,90911,NA,NA,5189
1994,765,155,1329,3234,11701,392,NA,184
1995,873,1937,2053,10275,134216,41867.26,NA,1933
1996,895,1527,2480,30014,58329,6063.4,NA,1579
1997,1160,1120,1191,4825,46054,6063.4,NA,410
1998,1190,117,1179,15082,36987,326.89,NA,1230
1999,1466,146,650,4304,17842,182.4,NA,509
2000,377,162,1017,6886,24900,889,NA,1141.5
2001,415,132,665,6103,15908,NA,NA,526.65
2002,458,287,2126,19856,40935,10078,NA,525.56
2003,310,160,1125,6819,11730,2360,NA,989.93
2004,192,220,888,4818,16997,0,NA,341.09
2005,242,153,955,3169,4315,0,NA,387.21
2006,132,88,10098,3765,19023,3396.84,NA,392.31
2007,274,144,21861,37984,117203,513.65,NA,1928.55
2008,171,55,7066,13864,21600,21315,NA,1633.28
2009,641,117,228,1050,3028,NA,4.88,420.25
2010,448,261,1526,23370,19026,200 no,2.85,1398.19
2011,507,666,864,11348,12135,NA,NA,7051.62
2012,385,384,1181,4235,3645,NA,NA,1293.96
2013,460,494,1536,2510,2710,NA,NA,3425.59
2014,503,479,0,34721,39812,NA,NA,1681
2015,9248,22633,1974,1079778,828,NA,NA,944
2016,450,764,8162,4655,13241,NA,NA,2812
2017,490,737,3291,1433352,19073,NA,NA,2495
