S.N.,Glacier Lake,Location /District,Altitude (m.),Area (sq.m.)
1,Lower Barun,Sankhuwasabha,4550,NA
2,Lumding Tsho,Solukhumbu,4846,104943
3,Dig Tsho,-,4364,143249
4,Imja Tsho,-,5023,48811
5,Tam Pokhari,-,4431,138846
6,Dudh Pokhari,-,4760,274296
7,Unnamed 1,-,5266,133752
8,Unnamed 2,-,5056,112398
9,Hungu,-,5181,198905
10,East Hungu 1,-,5379,78760
11,East Hungu 2,-,5483,211877
12,Unnamed 3,-,5205,349396
13,West Chamjang,-,4983,6446
14,Tsho Rolpa,Dolakha,4556,231693
15,Unnamed 4,Taplejung,4876,179820
16,Nagma Pokhari,-,4907,18971
17,Unnamed 5,Gorkha,3590,81520
18,Unnamed 6,Mustang,5419,149544
19,Unnamed 7,-,5452,1015173
20,Thulagi,-,3825,223385
