Year,Flood & Landslides,Earthquake,"Windstorms, Hailstorm & Thunderbolt",Avalanche,Fire,Epidemic,"Boat Capsize,Cold wave &Drowning",Stampede,Other,Total
1983,293,0,NA,0,69,217,NA,0,NA,579
1984,363,0,NA,0,57,521,NA,0,NA,941
1985,420,0,NA,0,52,915,NA,0,NA,1387
1986,315,0,NA,0,96,1101,NA,0,NA,1512
1987,391,0,2,0,62,426,NA,0,NA,881
1988,328,721,NA,14,23,427,NA,71,NA,1584
1989,680,0,28,20,109,879,NA,0,NA,1716
1990,307,0,57,0,46,503,NA,0,NA,913
1991,93,0,63,0,90,725,NA,0,NA,971
1992,71,2,20,0,97,128,NA,0,NA,318
1993,1336,0,45,0,43,100,NA,0,NA,1524
1994,49,0,47,0,43,626,NA,0,NA,765
1995,203,0,34,43,73,520,NA,0,NA,873
1996,258,3,75,4,61,494,NA,0,NA,895
1997,83,0,49,12,65,951,NA,0,NA,1160
1998,273,0,23,0,54,840,NA,0,NA,1190
1999,193,0,22,5,39,1207,NA,0,NA,1466
2000,173,0,26,0,37,141,NA,0,NA,377
2001,196,1,38,0,26,154,NA,0,NA,415
2002,441,0,6,0,11,0,NA,0,NA,458
2003,232,0,62,0,16,0,NA,0,NA,310
2004,131,0,10,0,10,41,NA,0,NA,192
2005,141,0,18,21,28,34,NA,0,NA,242
2006,114,0,15,0,3,0,NA,NA,NA,132
2007,216,0,40,6,9,3,NA,NA,NA,274
2008,134,0,16,0,11,10,NA,0,NA,171
2009,135,0,7,2,35,462,NA,0,NA,641
2010,240,0,70,0,69,36,NA,NA,NA,415
2011,252,6,114,0,46,9,80,NA,NA,507
2012,112,1,148,9,77,33,5,NA,NA,385
2013,219,0,154,8,59,4,16,NA,NA,460
2014,248,0,135,13,83,12,10,NA,NA,501
2015,124,8962,93,1,57,3,0,NA,8,9248
2016,256,0,108,0,41,19,20,NA,6,450
2017,249,0,90,1,63,10,18,NA,59,490
