S.N.,District,Total Lake,<100m,100-499 m,500- 1999m,2000-2999m,3000-4999m,> 5000m
1,Taplejung,380,0,0,0,2,297,81
2,Panchthar,17,0,0,2,8,7,0
3,Ilam,30,0,14,14,1,1,0
4,Jhapa,136,59,78,0,0,0,0
5,Morang,184,123,60,1,0,0,0
6,Sunsari,69,41,28,0,0,0,0
7,Dhankuta,4,0,0,4,0,0,0
8,Terathum,4,0,0,2,2,0,0
9,Sankhuwasabha,159,0,0,3,4,109,43
10,Bhojpur,7,0,0,5,1,1,0
11,Solukhumbu,339,0,0,1,1,112,225
12,Okhaldhunga,0,0,0,0,0,0,0
13,Khotang,10,0,0,4,5,1,0
14,Udaypur,14,4,4,6,0,0,0
15,Saptari,46,35,11,0,0,0,0
16,Siraha,140,67,73,0,0,0,0
17,Dhanusha,230,193,37,0,0,0,0
18,Mahottari,186,173,13,0,0,0,0
19,Sarlahi,74,47,27,0,0,0,0
20,Sindhuli,9,0,4,5,0,0,0
21,Ramechhap,25,0,0,1,0,21,3
22,Dolakha,42,0,0,3,5,23,11
23,Sindhupalchwok,75,0,0,12,5,58,0
24,Kavrepalanchok,1,0,0,1,0,0,0
25,Lalitpur,3,0,0,3,0,0,0
26,Bhaktapur,2,0,0,2,0,0,0
27,Kathmandu,1,0,0,1,0,0,0
28,Nuwakot,3,0,0,0,1,2,0
29,Rasuwa,38,0,0,0,0,34,4
30,Dhading,5,0,0,0,0,5,0
31,Makwanpur,2,0,0,1,1,0,0
32,Rautahat,85,68,17,0,0,0,0
33,Bara,93,75,18,0,0,0,0
34,Parsa,71,63,8,0,0,0,0
35,Chitwan,40,0,40,0,0,0,0
36,Gorkha,36,0,1,5,3,26,1
37,Lamjung,23,0,0,5,4,14,0
38,Tanahun,2,0,1,1,0,0,0
39,Syangja,4,0,0,1,3,0,0
40,Kaski,29,0,0,22,0,7,0
41,Manang,66,0,0,0,0,26,40
42,Mustang,78,0,0,0,2,5,71
43,Myagdi,33,0,0,5,14,13,1
44,Parbat,5,0,0,5,0,0,0
45,Baglung,60,0,0,15,37,8,0
46,Gulmi,11,0,0,7,4,0,0
47,Palpa,12,0,0,12,0,0,0
48,Nawalparasi,163,0,163,0,0,0,0
49,Rupandehi,289,131,158,0,0,0,0
50,Kapilvastu,351,190,161,0,0,0,0
51,Arghakhanchi,3,0,0,3,0,0,0
52,Pyuthan,19,0,0,13,6,0,0
53,Rolpa,16,0,0,11,1,4,0
54,Rukum,70,0,0,13,14,31,12
55,Salyan,5,0,0,5,0,0,0
56,Dang,38,0,8,30,0,0,0
57,Banke,243,0,243,0,0,0,0
58,Bardiya,82,0,82,0,0,0,0
59,Surkhet,22,0,1,21,0,0,0
60,Dailekh,7,0,0,5,2,0,0
61,Jajarkot,16,0,0,0,0,16,0
62,Dolpa,210,0,0,0,0,47,163
63,Jumla,99,0,0,0,1,97,1
64,Kalikot,1,0,0,0,0,1,0
65,Mugu,125,0,0,0,3,93,29
66,Humla,381,0,0,0,0,147,234
67,Bajura,57,0,0,0,5,45,7
68,Bajhang,25,0,0,0,2,19,4
69,Achham,13,0,0,3,7,3,0
70,Doti,19,0,0,9,4,6,0
71,Kailali,114,0,113,1,0,0,0
72,Kanchanpur,85,2,79,4,0,0,0
73,Dadheldhura,2,0,0,2,0,0,0
74,Baitadi,1,0,0,1,0,0,0
75,Darchula,19,0,0,1,0,16,2
