DATE,TMIN,TMAX,TAVG
1976-11-05,21,,
1976-11-08,13,19,16
1976-11-10,13,19,16
1976-11-11,14,18,16
1976-11-13,13,,
1976-11-14,12,,
1976-11-15,13,18,15.5
1976-11-16,12,18,15
1976-11-17,12,,
1976-11-19,11,15,13
1976-12-13,9,17,13
1976-12-15,15,,
1976-12-20,9,,
1976-12-22,18,,
1976-12-25,8,,
1977-01-06,7,,
1977-01-07,7,,
1977-01-29,12,,
1977-02-02,7,,
1977-02-09,6,14,10
1977-02-10,8,17,12.5
1977-02-15,11,18,14.5
1977-02-17,12,,
1977-02-21,21,,
1977-02-25,11,18,14.5
1977-02-26,12,20,16
1977-03-07,13,22,17.5
1977-03-10,15,23,19
1977-03-17,16,,
1977-03-19,16,24,20
1977-03-20,15,,
1977-03-22,15,,
1977-03-24,16,25,20.5
1977-03-25,17,,
1977-03-28,16,24,20
1977-04-05,15,22,18.5
1977-04-07,25,,
1977-04-08,15,23,19
1977-04-10,13,22,17.5
1977-04-16,13,,
1977-04-25,22,,
1977-04-27,17,23,20
1977-04-28,16,25,20.5
1977-05-02,21,,
1977-05-07,12,19,15.5
1977-05-08,12,21,16.5
1977-05-10,16,23,19.5
1977-05-11,14,24,19
1977-05-12,16,,
1977-05-15,26,,
1977-05-31,21,27,24
1977-06-03,24,,
1977-06-06,16,23,19.5
1977-06-10,18,24,21
1977-06-13,24,,
1977-06-17,18,25,21.5
1977-06-20,18,,
1977-06-25,19,,
1977-07-01,19,25,22
1977-07-04,20,26,23
1977-07-07,19,24,21.5
1977-07-12,19,23,21
1977-07-16,18,25,21.5
1977-07-18,18,25,21.5
1977-07-26,27,,
1977-07-31,19,,
1977-08-01,26,,
1977-08-02,19,24,21.5
1977-08-14,23,,
1977-08-31,20,27,23.5
1977-09-02,17,25,21
1977-09-04,18,,
1977-09-08,20,26,23
1977-09-10,19,,
1977-09-14,17,23,20
1977-09-15,18,21,19.5
1977-09-19,17,,
1977-09-21,18,21,19.5
1977-09-22,17,23,20
1977-09-23,17,24,20.5
1977-09-24,18,24,21
1977-09-27,24,,
1977-09-30,17,,
1977-10-03,16,21,18.5
1977-10-09,16,23,19.5
1977-10-10,24,,
1977-10-11,17,23,20
1977-10-14,14,20,17
1977-10-16,13,,
1977-10-17,14,20,17
1977-10-18,14,,
1977-10-19,12,21,16.5
1977-10-20,13,,
1977-10-22,14,,
1977-10-23,20,,
1977-10-24,15,20,17.5
1977-10-25,13,,
1977-10-26,16,,
1977-10-27,20,,
1977-10-28,20,,
1977-10-29,14,21,17.5
1977-10-30,14,,
1977-10-31,14,22,18
1977-11-01,15,20,17.5
1977-11-02,15,21,18
1977-11-03,15,19,17
1977-11-05,13,19,16
1977-11-06,13,17,15
1977-11-07,13,17,15
1977-11-09,12,,
1977-11-10,12,19,15.5
1977-11-11,12,19,15.5
1977-11-12,17,,
1977-11-13,11,16,13.5
1977-11-15,11,18,14.5
1977-11-17,12,19,15.5
1977-11-19,12,19,15.5
1977-11-20,12,20,16
1977-11-22,11,18,14.5
1977-11-25,11,18,14.5
1977-11-28,12,18,15
1977-12-03,10,,
1977-12-04,11,,
1977-12-06,10,15,12.5
1977-12-07,9,,
1977-12-10,10,16,13
1977-12-13,9,16,12.5
1977-12-16,9,15,12
1977-12-17,9,16,12.5
1977-12-19,18,,
1977-12-20,9,,
1977-12-21,8,,
1977-12-24,8,,
1977-12-28,4,13,8.5
1977-12-30,6,11,8.5
1978-01-02,6,,
1978-01-03,10,,
1978-01-04,3,,
1978-01-05,4,14,9
1978-01-07,13,,
1978-01-10,4,,
1978-01-11,17,,
1978-01-13,9,,
1978-01-18,7,,
1978-01-20,7,,
1978-02-02,9,15,12
1978-02-04,7,15,11
1978-02-05,8,13,10.5
1978-02-06,7,,
1978-02-07,8,16,12
1978-02-09,7,14,10.5
