Distance from source glaciers (m),Number of glacial lake in koshi,% of glacial lake in koshi,Area (km2) of glacial lake in koshi,% of Area (km2) of glacial lake in koshi,Number of glacial lake in Gandaki,% of glacial lake in Gandaki,Area (km2) of glacial lake in Gandaki,% Area (km2) of glacial lake in Gandaki,Number  of glacial lake in karnali,%  of glacial lake in karnali,Area  of glacial lake in karnali,% Area (km2) of glacial lake in karnali
Within,234,11.3,3.36,2.5,46,10.6,0.36,1.9,57,5.1,0.46,1.1
Contact with,124,6,37.45,28.4,57,13.2,3.96,20.7,58,5.1,4.09,9.3
>0=<100,13,0.6,0.84,0.6,4,0.9,0.03,0.2,8,0.7,0.39,0.9
100=<200,69,3.3,2.19,1.7,29,6.7,0.61,3.2,40,3.5,0.83,1.9
200=<500,335,16.2,10.87,8.2,115,26.6,3.17,16.5,169,15,4.56,10.4
"500=<1,000",383,18.6,19.5,14.8,76,17.6,2.68,13.9,238,21.1,9.22,21
"1,000=<2,000",265,12.8,24.07,18.2,42,9.7,6.06,31.6,190,16.8,7.3,16.6
"2,000=<5,000",342,16.6,16.28,12.3,29,6.7,1.09,5.7,210,18.6,10.93,24.9
"5,000=<10,000",214,10.4,8.67,6.6,32,7.4,1.2,6.3,77,6.8,2.68,6.1
>=10000,85,4.1,8.79,6.7,2,0.5,0.03,0.1,81,7.2,3.48,7.9
