Local time in Darbhanga,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
03.06.2021 08:30,30.6,746.8,751.0,,76,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.4,,,,,,,4.0,25.8,,,,,,
02.06.2021 08:30,28.0,749.0,753.3,,86,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,23.0,,,,"2500 or more, or no clouds.",,,4.0,25.4,6,24,,,,
01.06.2021 08:30,28.6,748.3,752.5,,88,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,25.6,,,,"2500 or more, or no clouds.",,,4.0,26.4,,,,,,
31.05.2021 17:30,29.4,746.2,750.4,,83,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.6,,,,,,4.0,26.3,,,,,,
30.05.2021 17:30,28.8,744.5,748.7,,89,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,31.4,,,"2500 or more, or no clouds.",,,4.0,26.9,,,,,,
30.05.2021 08:30,27.0,749.3,753.6,,92,Wind blowing from the north,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,25.0,,,,"2500 or more, or no clouds.",,,4.0,25.6,6,24,,,,
29.05.2021 17:30,28.0,755.0,759.3,,92,Wind blowing from the north,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,28.2,,,"2500 or more, or no clouds.",,,4.0,26.6,,,,,,
29.05.2021 08:30,23.6,750.3,754.6,,100,"Calm, no wind",0,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,21.4,,,,"2500 or more, or no clouds.",,,2.0,23.6,183,24,,,,
28.05.2021 17:30,23.6,754.5,758.9,,96,Wind blowing from the south,2,,,70 – 80%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,,24.0,,,"2500 or more, or no clouds.",,,2.0,23.0,,,,,,
28.05.2021 08:30,23.4,748.4,752.7,,,Wind blowing from the south,2,,,70 – 80%.,"Rain, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,22.0,,,,600-1000,,,2.0,,44,24,,,,
27.05.2021 17:30,26.2,,,,90,Wind blowing from the north,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,,,"2500 or more, or no clouds.",,,2.0,24.5,,,,,,
27.05.2021 08:30,25.6,745.3,749.6,,95,Wind blowing from the north,2,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,24.4,,,,"2500 or more, or no clouds.",,,4.0,24.7,11,24,,,,
26.05.2021 08:30,26.8,746.9,751.2,,95,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.0,,,,"2500 or more, or no clouds.",,,4.0,26.0,Trace of precipitation,24,,,,
25.05.2021 17:30,29.8,745.1,749.3,,81,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,33.6,,,"2500 or more, or no clouds.",,,4.0,26.2,,,,,,
25.05.2021 08:30,25.4,751.2,755.5,,96,Wind blowing from the north,2,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,25.2,,,,"2500 or more, or no clouds.",,,4.0,24.8,Trace of precipitation,24,,,,
24.05.2021 17:30,34.2,748.8,753.0,,62,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.4,,,,,,4.0,25.8,,,,,,
24.05.2021 08:30,29.4,750.9,755.2,,85,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.4,,,,,,,4.0,26.6,,,,,,
23.05.2021 17:30,33.6,747.9,752.1,,64,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.6,,,,,,4.0,25.8,,,,,,
23.05.2021 08:30,,,754.8,,,,,,,"10%  or less, but not 0",Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,,,,"2500 or more, or no clouds.",,,4.0,26.7,,,,,,
22.05.2021 17:30,33.4,747.9,752.1,,66,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.2,,,,,,4.0,26.2,,,,,,
22.05.2021 08:30,24.8,749.2,753.5,,,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,,,,,,,4.0,,Trace of precipitation,24,,,,
21.05.2021 17:30,30.2,746.7,750.9,,80,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,31.0,,,,,,4.0,26.3,,,,,,
