S.N.,Districts,Winter_Alpha,Winter_Trend,PreMonsoon_Alpha,PreMonsoon_Trend,Monsoon_Alpha,Monsoon_Trend,PostMonsoon_Alpha,PostMonsoon_Trend,Annual_Alpha,Annual_Trend
1,Achham,0,-0.16,0,-0.61111,0,2.38,0,-0.45,0,1.628571
2,Arghakhanchi,0,0.14,0,1.073317,0,-1.53,0,-0.56,0,-3.0477
3,Baglung,0,-0.22,0,-0.19858,0,4.53,0,-0.62,0,2.38447
4,Baitadi,0,0.01,0,-0.68915,0,2.21,0,-0.23,0,1.302564
5,Bajhang,0,-0.2,0,-1.26754,0,2.67,0,-0.28,0,-0.49
6,Bajura,0,-0.18,0,-0.82333,0,1.91,0,-0.05,0,0.935453
7,Banke,0,0.23,+,0.812944,0,3.94,0,-0.11,0,3.752963
8,Bara,0,-0.15,0,0.052421,0,-2.72,0,-0.62,0,-4.64427
9,Bardiya,0,0.41,0,0.6734,+,6.56,0,-0.18,*,7.864615
10,Bhaktapur,0,0.02,0,0.56125,0,-0.2,0,-0.31,0,-0.09457
11,Bhojpur,0,-0.16,0,0.085484,0,-0.47,0,-0.79,0,-2.18021
12,Chitawan,0,-0.12,+,1.708489,0,0.17,0,-0.33,0,1.319968
13,Dadeldhura,0,0.08,0,-0.50238,0,0.44,0,-0.17,0,0.643
14,Dailekh,0,0.05,0,-0.41769,0,-0.12,0,-0.36,0,-1.18278
15,Dang,0,0.14,0,0.672059,0,-1.28,0,-0.62,0,-2.27303
16,Darchula,0,-0.28,0,-0.86389,0,1.13,0,-0.38,0,-1.03459
17,Dhading,0,-0.19,0,-0.144,0,-2.94,0,-0.77,+,-3.86083
18,Dhankuta,0,-0.09,0,0.023846,0,-1.91,0,-0.53,0,-2.76092
19,Dhanusa,0,-0.2,+,1.467619,0,3.6,0,-0.4,0,4.135667
20,Dolakha,0,-0.26,+,-1.52972,**,-5.63,0,-0.45,**,-7.72086
21,Dolpa,0,0,0,-0.45936,0,1.19,0,-0.13,0,0.210714
22,Doti,0,0.29,0,-0.44273,0,3.47,0,-0.33,0,1.948684
23,Gorkha,0,-0.19,0,-0.7214,0,-1.38,0,-0.45,0,-3.35296
24,Gulmi,0,0.15,0,0.917148,0,5.4,0,-0.73,0,5.11581
25,Humla,0,0.51,*,-1.3,0,-0.19,0,0.03,0,-0.7395
26,Ilam,0,-0.2,0,0.450877,*,-7.5,0,-0.6,*,-9.56731
27,Jajarkot,0,0.1,0,-0.5075,0,-0.34,0,-0.65,0,-2.945
28,Jhapa,0,-0.04,+,1.606224,0,-0.21,0,-0.23,0,1.495135
29,Jumla,0,0.09,0,-0.64776,0,0.3,0,-0.08,0,-0.57946
30,Kailali,0,0.48,0,0.469982,0,3.04,0,-0.22,0,3.443212
31,Kalikot,0,-0.48,0,-0.76944,0,-0.06,0,-0.25,0,-1.82952
32,Kanchanpur,0,0.45,0,0.358333,0,3.96,0,-0.26,0,5.23
33,Kapilbastu,0,0.19,0,0.672222,0,-1.86,0,-0.59,0,-2.17636
34,Kaski,0,-0.1,0,-1.37321,+,-7.59,0,-1.3,*,-11.4408
35,Kathmandu,0,-0.02,0,0.437647,0,0.83,0,-0.38,0,1.000962
36,Kavrepalanchok,0,-0.09,0,-0.03929,0,-2.44,0,-0.18,0,-2.45481
37,Khotang,0,-0.15,0,0.736667,0,-1.94,0,-0.59,0,-3.04
38,Lalitpur,0,0.118333,0,0.21,0,-4.94,0,-0.24,+,-4.95
39,Lamjung,0,-0.02926,0,-0.81,0,-3.99,0,-0.76,+,-6.47
40,Mahottari,0,-0.07906,*,1.36,0,2.23,0,-0.5,0,2.79
