Indices,No. of mean annual days in the reference period,% change when RCP4.5 for Medium-term ,Days change when RCP4.5 for Medium-term,% change when RCP4.5 for Long-term,Days change when RCP4.5 for Long-term,% change when  RCP8.5 for Medium-term ,Days change when RCP8.5 for Medium-term,% change when RCP8.5 for Long-term,Days change when RCP8.5 for Long-term
P95,18.1,1.5,0.3,12,2.2,12.1,2.2,18.6,3.4
P99,3.5,26.3,0.9,41.3,1.4,28,1,59.8,2.1
Rainy days,166.4,-1.8,-3,-1,-1.7,-0.9,-1.6,-0.5,-0.8
CDD,45.3,6,2.7,2.4,1.1,-1.6,-0.7,-2.9,-1.3
CWD,78.1,-4.2,-3.3,-1.3,-1,3.1,2.5,2.2,1.7
Warm days,36.5,64.5,23.9,87.3,32.3,71.4,26.4,124.7,46.1
Warm nights,36.5,81.4,30.5,115.7,43.3,101,37.8,159.2,59.6
Cold days,36.5,-42,-15.4,-52.6,-19.3,-55.8,-20.5,-75,-27.5
Cold nights,36.5,-40.7,-15,-53.5,-19.7,-54.1,-19.9,-74,-27.3
Warm spell duration index,17.6,110,19.3,149,26.2,157.4,27.6,244.8,43
Cold spell duration index,20.3,-51.8,-10.5,-63.9,-12.9,-55.1,-11.2,-73.3,-14.8
