INDICES,NO. OF MEAN ANNUAL DAYS IN THE REFERENCE PERIOD,% CHANGE WHEN RCP4.5 FOR MEDIUM-TERM ,DAYS CHANGE WHEN RCP4.5 FOR MEDIUM-TERM,% CHANGE WHEN RCP4.5 FOR LONG-TERM,DAYS CHANGE WHEN RCP4.5 FOR LONG-TERM,% CHANGE WHEN  RCP8.5 FOR MEDIUM-TERM ,DAYS CHANGE WHEN RCP8.5 FOR MEDIUM-TERM,% CHANGE WHEN RCP8.5 FOR LONG-TERM,DAYS CHANGE WHEN RCP8.5 FOR LONG-TERM
P95,18.1,1.5,0.3,12.0,2.2,12.1,2.2,18.6,3.4
P99,3.5,26.3,0.9,41.3,1.4,28.0,1.0,59.8,2.1
Rainy days,166.4,-1.8,-3.0,-1.0,-1.7,-0.9,-1.6,-0.5,-0.8
CDD,45.3,6.0,2.7,2.4,1.1,-1.6,-0.7,-2.9,-1.3
CWD,78.1,-4.2,-3.3,-1.3,-1.0,3.1,2.5,2.2,1.7
Warm days,36.5,64.5,23.9,87.3,32.3,71.4,26.4,124.7,46.1
Warm nights,36.5,81.4,30.5,115.7,43.3,101.0,37.8,159.2,59.6
Cold days,36.5,-42.0,-15.4,-52.6,-19.3,-55.8,-20.5,-75.0,-27.5
Cold nights,36.5,-40.7,-15.0,-53.5,-19.7,-54.1,-19.9,-74.0,-27.3
Warm spell duration index,17.6,110.0,19.3,149.0,26.2,157.4,27.6,244.8,43.0
Cold spell duration index,20.3,-51.8,-10.5,-63.9,-12.9,-55.1,-11.2,-73.3,-14.8
