Local time in Dhankuta,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,28,659,0,68,Wind blowing from the south,1,60%.,,,60%.,300-600,5,21.6,,
03.06.2021 08:45,25.2,659,0.7,75,Wind blowing from the south,1,50%.,19.5,,50%.,200-300,5,20.5,No precipitation,24
03.06.2021 05:45,20.2,658.3,,98,"Calm, no wind",0,50%.,,,20–30%.,Less than  50,1,19.9,,
02.06.2021 17:45,22.8,656.3,-1.9,86,Wind blowing from the east-southeast,1,50%.,,28.1,40%.,300-600,4,20.3,No precipitation,9
02.06.2021 14:45,26.8,658.2,0.2,72,Wind blowing from the south,1,50%.,,,50%.,300-600,3,21.3,,
02.06.2021 11:45,27.6,658,-0.1,70,Wind blowing from the south-southwest,1,20–30%.,,,20–30%.,300-600,5,21.6,,
02.06.2021 08:45,25.6,658.1,,81,Wind blowing from the west,1,60%.,19.5,,60%.,100-200,2,22.1,3,24
01.06.2021 17:45,23,656.1,-0.7,86,Wind blowing from the south-west,1,70 – 80%.,,26.3,70 – 80%.,100-200,2,20.5,2,9
01.06.2021 14:45,24.2,656.8,-1.2,88,Wind blowing from the south,1,"90  or more, but not 100%",,,"90  or more, but not 100%",200-300,1,22,,
01.06.2021 11:45,22,658,0.5,94,Wind blowing from the west,1,100%.,,,100%.,Less than  50,1,20.9,,
01.06.2021 08:45,25.2,657.5,,74,,,,19.5,,70 – 80%.,Less than  50,1,20.2,1,24
31.05.2021 17:45,22.4,655.1,0.1,95,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,28.8,Sky obscured by fog and/or other meteorological phenomena.,,0.6,21.6,0.5,9
31.05.2021 14:45,25.4,655,-0.8,84,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",100-200,2,22.4,,
31.05.2021 11:45,28.2,655.8,,73,Wind blowing from the south,1,50%.,,,50%.,200-300,2,23,,
31.05.2021 05:45,21.4,655.9,,92,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",100-200,2,20,,
30.05.2021 17:45,24.8,655.8,-1,79,"Calm, no wind",0,20–30%.,,29.5,20–30%.,600-1000,5,20.9,Trace of precipitation,9
30.05.2021 14:45,28.9,656.8,-2.1,64,Wind blowing from the south,1,50%.,,,20–30%.,300-600,5,21.4,,
30.05.2021 11:45,23.6,658.9,0.3,88,,,,,,"90  or more, but not 100%",300-600,6,21.4,,
30.05.2021 08:45,23.8,658.6,0.4,80,,,,20,,60%.,300-600,6,20.2,No precipitation,24
30.05.2021 05:45,20.6,658.2,,90,"Calm, no wind",0,60%.,,,20–30%.,300-600,6,18.9,,
29.05.2021 17:45,23.4,657.7,-1.2,84,Wind blowing from the west,1,40%.,,28.5,"10%  or less, but not 0",300-600,6,20.6,No precipitation,9
29.05.2021 14:45,26.8,658.9,-1,72,Wind blowing from the south,1,"90  or more, but not 100%",,,50%.,300-600,6,21.3,,
