Local time in Pokhara (airport),T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,30,687.7,-0.6,61,Wind blowing from the east-southeast,3,20–30%.,,,20–30%.,600-1000,12,21.8,,
03.06.2021 08:45,27.4,688.3,0.8,61,Wind blowing from the south,1,"10%  or less, but not 0",19.7,,"10%  or less, but not 0",600-1000,12,19.2,Trace of precipitation,24
03.06.2021 05:45,20.4,687.5,,92,Wind blowing from the west-northwest,2,no clouds,,,,,12,19.1,,
02.06.2021 17:45,29,685.3,-0.3,64,Wind blowing from the east,2,40%.,,31.9,20–30%.,600-1000,10,21.6,No precipitation,9
02.06.2021 14:45,31.4,685.6,-1.2,57,Wind blowing from the south-southeast,4,40%.,,,40%.,600-1000,10,21.9,,
02.06.2021 11:45,29.6,686.8,-0.4,61,Wind blowing from the east-southeast,3,20–30%.,,,20–30%.,600-1000,10,21.4,,
02.06.2021 08:45,25.9,687.2,,72,Wind blowing from the south-southwest,1,20–30%.,20.2,,20–30%.,600-1000,10,20.4,0.3,24
01.06.2021 17:45,25.6,684.8,-1.1,74,Wind blowing from the west,2,"90  or more, but not 100%",,30,40%.,600-1000,10,20.6,0.3,9
01.06.2021 14:45,24.6,685.9,-0.7,84,Wind blowing from the west,3,100%.,,,50%.,600-1000,8,21.8,,
01.06.2021 11:45,29.6,686.6,0.1,65,Wind blowing from the east,3,40%.,,,20–30%.,600-1000,10,22.3,,
01.06.2021 08:45,26.6,686.5,0.3,74,,,,21,,20–30%.,300-600,9,21.6,7,24
01.06.2021 05:45,21.2,686.2,,98,Wind blowing from the south,1,70 – 80%.,,,50%.,50-100,2,20.9,,
31.05.2021 17:45,26.3,683.2,0.1,75,Wind blowing from the east,2,60%.,,31,50%.,600-1000,8,21.5,Trace of precipitation,9
31.05.2021 14:45,29.3,683.1,-1.3,67,Wind blowing from the north-west,3,70 – 80%.,,,50%.,600-1000,10,22.5,,
31.05.2021 11:45,30.2,684.4,-1.1,65,Wind blowing from the south-east,2,40%.,,,40%.,600-1000,10,22.8,,
31.05.2021 08:45,25.2,685.5,0.5,84,,,,22.6,,50%.,300-600,6,22.2,0.3,24
31.05.2021 05:45,22.8,685,,92,Wind blowing from the north-east,1,"90  or more, but not 100%",,,50%.,300-600,6,21.4,,
30.05.2021 17:45,29.6,684.2,-0.8,58,Wind blowing from the east-southeast,2,20–30%.,,32.2,20–30%.,600-1000,10,20.4,No precipitation,9
