Local time in Rikaze,T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,H,Td,RRR,tR
03.06.2021 14:00,20.9,478.9,740.9,-1.4,14,3,,6,6.4,25.9,"2500 or more, or no clouds.",-7.6,No precipitation,12
03.06.2021 11:00,16.8,480.3,743.2,0.4,22,3,,9,6.4,25.9,"2500 or more, or no clouds.",-5,No precipitation,12
03.06.2021 08:00,10.5,479.9,742.9,1.3,49,1,,11,6.4,25.9,"2500 or more, or no clouds.",0,No precipitation,12
03.06.2021 05:00,9,478.6,741.8,0,46,1,,11,8.9,25.9,"2500 or more, or no clouds.",-2,No precipitation,12
03.06.2021 02:00,14.7,478.6,740,1.3,27,2,,11,10.3,25.9,"2500 or more, or no clouds.",-4.1,No precipitation,12
02.06.2021 23:00,18.6,477.3,738,2.6,18,4,,,10.3,25.9,"2500 or more, or no clouds.",-6.2,No precipitation,12
02.06.2021 20:00,24.4,474.7,734.7,-0.3,9,4,,11,10.3,25.9,"2500 or more, or no clouds.",-10.5,No precipitation,12
02.06.2021 17:00,24.2,475,734.5,-2.1,14,3,,7,10.3,24.7,"2500 or more, or no clouds.",-5,No precipitation,12
02.06.2021 14:00,21.7,477.1,738.1,-1.4,20,3,,5,10.3,24.7,"2500 or more, or no clouds.",-2.2,No precipitation,12
02.06.2021 11:00,18,478.5,739.9,0.4,32,2,,10,10.3,24.7,"2500 or more, or no clouds.",1.1,No precipitation,12
02.06.2021 08:00,10.7,478.1,741.4,0.8,47,1,,10,10.3,24.7,"2500 or more, or no clouds.",-0.4,No precipitation,12
02.06.2021 05:00,12.2,477.3,739,0,38,2,,10,7.3,24.7,"2500 or more, or no clouds.",-1.7,No precipitation,12
02.06.2021 02:00,14.1,477.3,738.4,1,35,2,,10,7.3,24.7,"2500 or more, or no clouds.",-1.1,No precipitation,12
01.06.2021 23:00,18.4,476.3,736.4,1.8,22,4,,10,,24.7,"2500 or more, or no clouds.",-3.7,No precipitation,12
01.06.2021 20:00,21.6,474.5,735.7,,20,1,,8,7.3,24.7,,-2.3,No precipitation,6
01.06.2021 17:00,22.6,475.1,736.2,-1.9,19,2,,8,7.3,24.7,"2500 or more, or no clouds.",-2.2,No precipitation,12
01.06.2021 14:00,21.6,477,737.8,-1.6,21,4,,,7.3,24.7,"2500 or more, or no clouds.",-1.6,No precipitation,12
01.06.2021 11:00,18.1,478.6,739.9,0.4,30,1,,8,7.3,24.7,"2500 or more, or no clouds.",0.3,No precipitation,12
01.06.2021 08:00,10.9,478.2,741.5,1.1,54,1,,13,7.3,24.7,"2500 or more, or no clouds.",2,No precipitation,12
01.06.2021 05:00,10.8,477.1,738.6,0.4,46,1,,13,9.3,24.7,"2500 or more, or no clouds.",-0.6,No precipitation,12
01.06.2021 02:00,14.2,476.7,738.2,0.9,34,2,,13,9.3,24.7,"2500 or more, or no clouds.",-1.4,No precipitation,12
31.05.2021 23:00,18.7,475.8,736,1.9,22,5,,13,9.3,24.7,"2500 or more, or no clouds.",-3.4,No precipitation,12
31.05.2021 20:00,21.7,473.9,734.5,-0.6,22,4,,,9.3,24.7,"2500 or more, or no clouds.",-0.9,No precipitation,12
31.05.2021 17:00,24,474.5,734.2,-2,14,2,,6,9.3,25.7,"2500 or more, or no clouds.",-5.1,No precipitation,12
