Local time in Dadeldhura,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
03.06.2021 11:45,24.3,609.1,-0.1,58,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,15.6,,
03.06.2021 08:45,21.2,609.2,0.9,68,Wind blowing from the south,3,20–30%.,14.5,,20–30%.,200-300,8,15,No precipitation,24
03.06.2021 05:45,14,608.3,,91,Wind blowing from the east,4,20–30%.,,,20–30%.,200-300,6,12.6,,
02.06.2021 17:45,22.2,606.6,-0.3,65,Wind blowing from the south-east,2,60%.,,25.6,40%.,200-300,8,15.2,No precipitation,9
02.06.2021 14:45,25,606.9,-1,52,Wind blowing from the east,2,70 – 80%.,,,40%.,200-300,8,14.4,,
02.06.2021 11:45,24.1,607.9,0,63,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,8,16.5,,
02.06.2021 08:45,20.8,607.9,,55,Wind blowing from the east,3,20–30%.,14.8,,20–30%.,200-300,8,11.5,1,24
01.06.2021 17:45,20.2,607.2,-0.6,69,Wind blowing from the south,2,20–30%.,,23.4,20–30%.,200-300,8,14.2,1,9
01.06.2021 14:45,20.5,607.8,-1.4,72,Wind blowing from the south,2,70 – 80%.,,,40%.,200-300,8,15.2,,
01.06.2021 11:45,14.6,609.2,-0.2,93,Wind blowing from the east,4,100%.,,,60%.,200-300,6,13.5,,
01.06.2021 08:45,13.6,609.4,3.5,100,,,,13.5,,20–30%.,200-300,2,13.6,11,24
01.06.2021 05:45,15.2,605.9,,84,Wind blowing from the east,5,100%.,,,20–30%.,200-300,2,12.4,,
31.05.2021 17:45,23,605.4,-0.1,69,Wind blowing from the east,2,60%.,,25.7,40%.,200-300,8,16.9,No precipitation,9
31.05.2021 14:45,25.1,605.5,-1.5,56,Wind blowing from the south,2,70 – 80%.,,,50%.,200-300,8,15.7,,
31.05.2021 11:45,23.6,607,0.3,65,Wind blowing from the east,4,70 – 80%.,,,50%.,200-300,8,16.6,,
31.05.2021 08:45,20,606.7,0.5,78,,,,16.2,,40%.,200-300,8,16,No precipitation,24
31.05.2021 05:45,16.5,606.2,,91,Wind blowing from the east,5,100%.,,,60%.,200-300,6,15,,
30.05.2021 17:45,23,606.4,-1.2,69,Wind blowing from the east,2,20–30%.,,25,20–30%.,200-300,8,16.9,No precipitation,9
30.05.2021 14:45,24.6,607.6,-1.2,57,Wind blowing from the south,2,100%.,,,60%.,200-300,8,15.5,,
30.05.2021 11:45,20.5,608.8,0.4,80,,,,,,60%.,200-300,3,16.9,,
30.05.2021 08:45,17.1,608.4,0.8,95,,,,15.2,,60%.,200-300,2,16.3,No precipitation,24
