Year,Incident,Incident description,Total death
1922,Avalanche,British Mount Everest Expedition,7
1952,Avalanche,"Swiss expedition, Lhotse Face",1
1970,Avalanche,"Ice-fall avalanche in the Khumbu Icefall, during production of “The Man Who Skied Down Everest” between Base Camp and Camp I",6
1972,Avalanche/Snowstorm,"South Korean Mountaineering Expedition, Nepalease Sherpa, Koreans and Japanese killed at the 26,658 feet of Mt. Manaslu",15
1973,Avalanche/Snowstorm,S.W. Face,9
1974,Avalanche,French expedition from the West Ridge to Mt. Everest,6
1977,Avalanche,Sisne Himal,1
1978,Avalanche/Snowstorm,Khumbu Icefall,7
1979,Avalanche/Snowstorm,"Below North Col, Japanese Alpine Club
reconnaissance expedition",8
1980,Avalanche/Snowstorm,7900 m North Face,10
1981,Avalanche/Snowstorm,6900 m W. Cwm,4
1982,Avalanche/Snowstorm,Khumbu Icefall,7
1984,Avalanche,Ice-fall avalanche in the Khumbu Icefall,3
1987,Avalanche/Snowstorm,Everest basecamp,2
1988,Avalanche,"Climbers’ camp at 23,625 feet towards Mt. Everest",2
1989,Avalanche/Snowstorm,"Polish Climbers on Mt. Everest on a 7200 m W. ridge;
and Spanish climbers in Mt. Pumori while traversing Mt Pumori’s exposed slopes",20
1990,Avalanche/Snowstorm,Everest region,6
1991,Avalanche/Snowstorm,Everest region,8
1992,Avalanche/Snowstorm,Khumbu region,2
1994,Avalanche/Snowstorm,Everest region,2
1995,Avalanche/Snowstorm,"Intense snowfall generated numerous avalanches
throughout the Khumbu region
Near Mt. Kanchenjunga base camp",48
1996,Avalanche/Snowstorm,"Mount Everest during attempts to descend from the summit, at Lhotse face",9
1997,Avalanche/Snowstorm,"Everest region, Everest",19
1998,Avalanche/Snowstorm,"Everest region, Everest",6
1999,Avalanche/Snowstorm,"Everest region, Everest; Chunchet, Gorkha",6
2005,Avalanche/Snowstorm,"Powder-snow avalanche, induced by several hours of heavy snowfall, plowed into a French expedition’s base camp",21
2006,Avalanche,Due to a massive serac (ice fall) collapsing at the Khumbu icefall on Mt Everest,3
2007,Avalanche/Snowstorm,"Everest region, Everest",6
2009,Avalanche,Khumbu Icefall,2
2010,Avalanche,"Big avalanche swept away a leading Sherpa along with his guide, in windy conditions fixing ropes near the summit of Mount Baruntse",2
2012,Avalanche,"Avalanche hit camp three of the Manaslu peak, resulting in a flood of snow",9
2013,Avalanche,"Everest region, Everest",8
2014,Avalanche/Snowstorm,"Snowstorm and series of avalanches occurred on and around Annapurna and Dhaulagiri in the Manang and Mustang districts;
Seracs on the western spur of Mount Everest
failed, resulting in an ice avalanche",59
2015,Avalanche/Snowstorm,Shaking from the 25 April 2015 earthquake triggered an avalanche from Pumori into Base Camp on Mount Everest,23
2017,Avalanche,"11-year-old boy went missing in an avalanche at Chorkhola area in Kaike village council, Dolpa while they were going to their animal sheds in Chormara Lek",1
2018,Avalanche/Snowstorm,"Heavy snowstorm followed by landslide buried the base camp of Mt. Gurja at 3,500 m on the lap of the south face of Mt Dhaulagiri",9
2019,Avalanche,"Avalanche at Annapurna trekking route in Nesyang Rural Municipality of Manang district;
Dolpa; Dhading",8
"2020
",Avalanche,Avalanche struck the famous Mount Annapurna circuit climbing route (3230 m) after heavy rains and snow,7
