   Lake no,Glacier Location ,Glacier type,Average area in year ,Average area in year ,Average area in year 2007(m2),Distance to glacier(m),Average growth rate (1960s-2000)%,Average growth rate(2000-2007) %
40,"27847’44’N, 86837’14’E",Moraine-dammed,18 914,23 289,22 319,270,23,–4
41,"27847’41’N, 86837’36’E",Moraine-dammed,26 289,74 197,92 951,785,182,25
43,"27847’09’N, 86838’06’E",Moraine-dammed,13 662,25 888,26 721,70,89,3
47,"27849’14’N, 86835’38’E",Blocked,12 866,35 593,NA,45,177,NA
52,"27849’38’N, 86834’38’E",Moraine-dammed,2096,30 921,33 131,785,1375,7
69,"27857’06’N, 86834’44’E",Supraglacial,3316,23 322,19 168,0,603,–18
71,"27856’39’N, 86833’15’E",Supraglacial,4404,21 194,54 101,300,381,155
160,"27857’38’N, 86839’58’E",Erosion,15 439,27 473,24 488,670,78,–11
229,"27856’03’N, 86844’42’E",Erosion,17 933,20 184,22 210,515,13,10
255,"27857’23’N, 86848’37’E",Supraglacial,10 425,48 496,12 284,0,365,–75
286,"27859’36’N, 86850’30’E",Supraglacial,6765,22 191,13 659,0,228,–38
287,"27859’51’N, 86850’20’E",Supraglacial,48 811,121 762,121 999,0,149,0
300,"27857’38’N, 86850’06’E",Block/valley,16 606,23 474,22 110,95,41,–6
342,"27855’08’N, 86854’50’E",Supraglacial,6977,41 503,9144,0,495,–78
384,"27853’09’N, 86850’50’E",Moraine-dammed,14 431,29 750,23 711,245,106,–20
446,"27849’58’N, 86855’18’E",Moraine-dammed,207 314,349 263,357 903,0,68,2
472,"27842’40’N, 86858’48’E",Moraine-dammed,6526,46 215,49 900,0,608,8
483,"27843’39’N, 86834’22’E",Moraine-dammed,New,34 016,32 040,0,NA,–6
491,"27846’39’N, 86838’44’E",Moraine-dammed,New,286 119,305 913,245,NA,7
495,"27854’32’N, 86835’00’E",Moraine-dammed,New,20 044,23 582,405,NA,18
501,"27857’30’N, 86839’50’E",Moraine-dammed,New,60 039,38 937,270,NA,–35
502,"27859’20’N, 86839’06’E",Moraine-dammed,New,58 097,55 811,0,NA,–4
505,"27856’10’N, 86842’48’E",Supraglacial,New,48 184,56 412,0,NA,17
511,"27859’27’N, 86841’38’E",Supraglacial,New,27 858,18 444,0,NA,–34
513,"28802’30’N, 86842’31’E",Moraine-dammed,New,38 349,32 060,210,NA,–16
517,"27848’38’N, 86850’52’E",Moraine-dammed,New,69 238,66 056,0,NA,–5
521,"27853’13’N, 86854’01’E",Moraine-dammed,New,65 368,59 541,0,NA,–9
522,"27853’00’N, 86853’43’E",Moraine-dammed,New,22 274,13 317,135,NA,–40
524,"27842’49’N, 86855’12’E",Moraine-dammed,New,67 607,66 011,310,NA,–2
526,"27843’28’N, 86854’13’E",Moraine-dammed,New,31 381,34 001,170,NA,8
528,"27849’26’N, 86855’54’E",Moraine-dammed,New,46 225,36 571,880,NA,–21
536,"27858’08’N, 86842’05’E",Supraglacial,New,27 084,19 604,0,NA,–28
543,"27845’57’N, 86852’31’E",Supraglacial,New,21 467,44 821,0,NA,109
