Glacier No. ,Glacier name,Elevation range masl  ," Mean glacier length in year1960s (m)
","
Mean glacier length in year 1976 m",Mean glacier length in year 1992 (m),Mean glacier length in year  2000 (m),Mean glacier length in year 2007 (m), Average retreat rate1976–2000(ma-1)," Average retreat rate 2000–2007(ma-1)
"
21,Lumding,5944–4846,6015,5715,4884,4700,4255,42,74
40,Langmuche,5669–4389,3160,2711,2711,2388,2388,13,0
47,Langdak,5883–4816,4430,4237,4237,4028,3764,9,44
48,Chhule,5974–4816,7600,7352,7352,6818,6658,22,27
52,Melung,5944–4926,8870,7805,7430,7430,7378,16,9
54,Bhote Koshi,6450–4755,17 100,16 855,16 785,16 455,NA,17,NA
67,Lumsamba,6919–4907,9500,9421,9197,8955,NA,19,NA
100,Ngojumba,7897–4511,22 500,21 975,21 925,21 625,21 543,15,14
120,Cholo,5151–4511,2520,2339,1756,1586,1293,31,49
133,Khumbu,8230–4816,12 040,11 681,11 343,11 198,11 097,20,17
152,Nuptse,5791–4907,6330,6207,6022,5898,NA,13,NA
153,W. Lhotse,5761–4938,4110,3908,3838,3722,3722,8,0
156,Lhotse,6160–4770,8870,8733,8626,8453,8335,12,20
160,Imja,7864–4999,10 770,9242,8988,8430,7986,34,74
166,Ombigaichain,6200–4816,4110,3328,3117,2123,2033,50,15
167,Amadablam,5425–4679,5060,4951,4911,4311,NA,27,NA
169,Duwo,5273–4465,2530,2446,2357,2056,NA,16,NA
170,Tsuro,6779–4298,2215,2087,2066,1811,NA,12,NA
186,Kyashar,6523–4846,6330,NaN,6042,5797,5662,NA,23
205,Inkhu,5029–4511,10 770,10 610,10 347,9786,9721,34,11
233,233,7319–4968,1900,1589,1487,1259,NA,14,NA
264,W. Chamiang,5944–4846,3800,2573,2108,1558,1433,42,21
